Daily Loan Principal & Interest Calculation Spreadsheet,,,,,,,,,,,,,,
BMB_Loan_Payment_1st_Payment_07_12_17.xls,,,,,13-Nov-2025,,,,,,,,,
Beginning Balance:,,$0.00 ,,,APR:,8.00%,Daily:,0.021918%,,,,,,
Beginning day of Loan,,26-Jan-2015,,,Maturity:,60 mos =,5 years,,,,,,,
First payment date,,,,,Payment:,$0.00 ,,,,,,,,
,,,,,System digit truncation:,,8 digits,,,,,,,
"Required inputs in the table are the amounts of fees and payments, input on the days they were charged or paid.  ",,,,,,,,,,,,,,
Date,Beginning Balance,Fees Chgd,Interest Rate,Interest Accrued each Day,Cumulative Interest Accrued,Payment,Fees Paid,Interest Paid,Principal Paid,Remaining Balance,Balance + Interest Due,Total Interest Paid,,
26-Jan-2015,"15,000.00",,8.00%,0.00,0.00,0.00,0.00,0.00,0.00,"15,000.00","15,000.00",0.00,,
27-Jan-2015,"15,000.00",,8.00%,3.29,3.29,,,0.00,0.00,"15,000.00","15,003.29",0.00,,
28-Jan-2015,"15,000.00",,8.00%,3.29,6.58,,,0.00,0.00,"15,000.00","15,006.58",0.00,,
29-Jan-2015,"15,000.00",,8.00%,3.29,9.86,,,0.00,0.00,"15,000.00","15,009.86",0.00,,
30-Jan-2015,"15,000.00",,8.00%,3.29,13.15,,,0.00,0.00,"15,000.00","15,013.15",0.00,,
31-Jan-2015,"15,000.00",,8.00%,3.29,16.44,,,0.00,0.00,"15,000.00","15,016.44",0.00,,
1-Feb-2015,"15,000.00",,8.00%,3.29,19.73,,,0.00,0.00,"15,000.00","15,019.73",0.00,,
2-Feb-2015,"15,000.00",,8.00%,3.29,23.01,,,0.00,0.00,"15,000.00","15,023.01",0.00,,
3-Feb-2015,"15,000.00",,8.00%,3.29,26.30,,,0.00,0.00,"15,000.00","15,026.30",0.00,,
4-Feb-2015,"15,000.00",,8.00%,3.29,29.59,,,0.00,0.00,"15,000.00","15,029.59",0.00,,
5-Feb-2015,"15,000.00",,8.00%,3.29,32.88,,,0.00,0.00,"15,000.00","15,032.88",0.00,,
6-Feb-2015,"15,000.00",,8.00%,3.29,36.16,,,0.00,0.00,"15,000.00","15,036.16",0.00,,
7-Feb-2015,"15,000.00",,8.00%,3.29,39.45,,,0.00,0.00,"15,000.00","15,039.45",0.00,,
8-Feb-2015,"15,000.00",,8.00%,3.29,42.74,,,0.00,0.00,"15,000.00","15,042.74",0.00,,
9-Feb-2015,"15,000.00",,8.00%,3.29,46.03,,,0.00,0.00,"15,000.00","15,046.03",0.00,,
10-Feb-2015,"15,000.00",,8.00%,3.29,49.32,,,0.00,0.00,"15,000.00","15,049.32",0.00,,
11-Feb-2015,"15,000.00",,8.00%,3.29,52.60,,,0.00,0.00,"15,000.00","15,052.60",0.00,,
12-Feb-2015,"15,000.00",,8.00%,3.29,55.89,,,0.00,0.00,"15,000.00","15,055.89",0.00,,
13-Feb-2015,"15,000.00",,8.00%,3.29,59.18,,,0.00,0.00,"15,000.00","15,059.18",0.00,,
14-Feb-2015,"15,000.00",,8.00%,3.29,62.47,,,0.00,0.00,"15,000.00","15,062.47",0.00,,
15-Feb-2015,"15,000.00",,8.00%,3.29,65.75,,,0.00,0.00,"15,000.00","15,065.75",0.00,,
16-Feb-2015,"15,000.00",,8.00%,3.29,69.04,,,0.00,0.00,"15,000.00","15,069.04",0.00,,
17-Feb-2015,"15,000.00",,8.00%,3.29,72.33,,,0.00,0.00,"15,000.00","15,072.33",0.00,,
18-Feb-2015,"15,000.00",,8.00%,3.29,75.62,,,0.00,0.00,"15,000.00","15,075.62",0.00,,
19-Feb-2015,"15,000.00",,8.00%,3.29,78.90,,,0.00,0.00,"15,000.00","15,078.90",0.00,,
20-Feb-2015,"15,000.00",,8.00%,3.29,82.19,,,0.00,0.00,"15,000.00","15,082.19",0.00,,
21-Feb-2015,"15,000.00",,8.00%,3.29,85.48,,,0.00,0.00,"15,000.00","15,085.48",0.00,,
22-Feb-2015,"15,000.00",,8.00%,3.29,88.77,,,0.00,0.00,"15,000.00","15,088.77",0.00,,
23-Feb-2015,"37,000.00",,8.00%,8.11,96.88,,,0.00,0.00,"37,000.00","37,096.88",0.00,,
24-Feb-2015,"37,000.00",,8.00%,8.11,104.99,,,0.00,0.00,"37,000.00","37,104.99",0.00,,
25-Feb-2015,"37,000.00",,8.00%,8.11,113.10,,,0.00,0.00,"37,000.00","37,113.10",0.00,,
26-Feb-2015,"37,000.00",,8.00%,8.11,121.21,,,0.00,0.00,"37,000.00","37,121.21",0.00,,
27-Feb-2015,"37,000.00",,8.00%,8.11,129.32,,,0.00,0.00,"37,000.00","37,129.32",0.00,,
28-Feb-2015,"37,000.00",,8.00%,8.11,137.42,,,0.00,0.00,"37,000.00","37,137.42",0.00,,
1-Mar-2015,"37,000.00",,8.00%,8.11,145.53,,,0.00,0.00,"37,000.00","37,145.53",0.00,,
2-Mar-2015,"37,000.00",,8.00%,8.11,153.64,,,0.00,0.00,"37,000.00","37,153.64",0.00,,
3-Mar-2015,"37,000.00",,8.00%,8.11,161.75,,,0.00,0.00,"37,000.00","37,161.75",0.00,,
4-Mar-2015,"37,000.00",,8.00%,8.11,169.86,,,0.00,0.00,"37,000.00","37,169.86",0.00,,
5-Mar-2015,"37,000.00",,8.00%,8.11,177.97,,,0.00,0.00,"37,000.00","37,177.97",0.00,,
6-Mar-2015,"37,000.00",,8.00%,8.11,186.08,,,0.00,0.00,"37,000.00","37,186.08",0.00,,
7-Mar-2015,"37,000.00",,8.00%,8.11,194.19,,,0.00,0.00,"37,000.00","37,194.19",0.00,,
8-Mar-2015,"37,000.00",,8.00%,8.11,202.30,,,0.00,0.00,"37,000.00","37,202.30",0.00,,
